model	split	seed	auroc	auprc	balanced_accuracy
metadata_confounder_logistic	disease_free_random_cell	1303	0.6238658337051911	0.6240271872862774	0.5551093261936635
metadata_confounder_logistic	disease_free_random_cell	1304	0.6586345381526104	0.6447662335433845	0.5987654320987654
metadata_confounder_logistic	disease_free_random_cell	1305	0.6715194109772423	0.6640153815017202	0.5891343150379296
metadata_confounder_logistic	disease_free_random_cell	1306	0.6630968317715306	0.6491365733857557	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1307	0.6448943923843522	0.6429328117996984	0.5642942138926075
metadata_confounder_logistic	disease_free_random_cell	1308	0.597017700431355	0.5981410782783765	0.5740740740740741
metadata_confounder_logistic	disease_free_random_cell	1309	0.6420868659824484	0.6292580205623685	0.5864197530864197
metadata_confounder_logistic	disease_free_random_cell	1310	0.6292949576082106	0.6310737831144039	0.6018518518518519
metadata_confounder_logistic	disease_free_random_cell	1311	0.6692324854975457	0.6575996155836474	0.6111111111111112
metadata_confounder_logistic	disease_free_random_cell	1312	0.6578722296593783	0.6459009225276333	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1313	0.6657742079428826	0.645499613214845	0.5925925925925926
metadata_confounder_logistic	disease_free_random_cell	1314	0.6715380038673211	0.6563195632963075	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1315	0.6546184738955824	0.6455032593795791	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1316	0.6408225494570876	0.6215875816934618	0.5771604938271605
metadata_confounder_logistic	disease_free_random_cell	1317	0.6683214338836829	0.6488506282609432	0.5987654320987654
metadata_confounder_logistic	disease_free_random_cell	1318	0.6608656849620705	0.6538488205529278	0.6141975308641975
metadata_confounder_logistic	disease_free_random_cell	1319	0.6546742525658188	0.6337860082304527	0.5833333333333334
metadata_confounder_logistic	disease_free_random_cell	1320	0.6743269373791462	0.6561946259985475	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1321	0.6418451584114235	0.6407939039517987	0.6080246913580247
metadata_confounder_logistic	disease_free_random_cell	1322	0.6486873419604343	0.6553342616527722	0.5641454707719769
metadata_confounder_logistic	disease_free_random_cell	1323	0.5984121671872675	0.6165267330305332	0.6018518518518519
metadata_confounder_logistic	disease_free_random_cell	1324	0.6895359214636323	0.6781210819494647	0.6296296296296297
metadata_confounder_logistic	disease_free_random_cell	1325	0.6305220883534136	0.6305949110723195	0.5987654320987654
metadata_confounder_logistic	disease_free_random_cell	1326	0.6449687639446676	0.6468927729227354	0.6141975308641975
metadata_confounder_logistic	disease_free_random_cell	1327	0.6795329466012198	0.6694692548926203	0.6234567901234568
metadata_confounder_logistic	disease_free_random_cell	1328	0.6753309534434033	0.6661631803908228	0.6203703703703703
metadata_confounder_logistic	disease_free_random_cell	1329	0.6419939015320542	0.6388328526009686	0.6049382716049383
metadata_confounder_logistic	disease_free_random_cell	1330	0.6501004016064257	0.6359294898700044	0.5925925925925926
metadata_confounder_logistic	disease_free_donor_holdout	1301	0.6179927667269439	0.6418344723858982	0.6011904761904762
metadata_confounder_logistic	disease_free_donor_holdout	1302	0.6057919621749408	0.6881004801823546	0.5135933806146572
metadata_confounder_logistic	disease_free_donor_holdout	1303	0.6422142572680207	0.7163643144363965	0.5694145758661888
metadata_confounder_logistic	disease_free_donor_holdout	1304	0.6803482587064676	0.7453300621394577	0.6019900497512438
metadata_confounder_logistic	disease_free_donor_holdout	1305	0.6042676311030741	0.6352843273231623	0.5914285714285714
metadata_confounder_logistic	disease_free_donor_holdout	1306	0.5715983363042187	0.5241075724768435	0.5112893642305407
metadata_confounder_logistic	disease_free_donor_holdout	1307	0.5629973474801061	0.5518680456870184	0.5544871794871795
metadata_confounder_logistic	disease_free_donor_holdout	1308	0.5370742976376779	0.6727652554007255	0.4537968552053059
metadata_confounder_logistic	disease_free_donor_holdout	1309	0.5857480780603194	0.6674523741754184	0.5195150798344175
metadata_confounder_logistic	disease_free_donor_holdout	1310	0.6033303597977995	0.6623997812661092	0.5202943800178412
metadata_confounder_logistic	disease_free_donor_holdout	1311	0.4917664670658683	0.5644518054398774	0.4444610778443114
metadata_confounder_logistic	disease_free_donor_holdout	1312	0.6816747479411991	0.6250496585096866	0.5908181328407603
metadata_confounder_logistic	disease_free_donor_holdout	1313	0.5432578641554798	0.5828291803489795	0.4815467842115808
metadata_confounder_logistic	disease_free_donor_holdout	1314	0.6455384615384615	0.5553069974748759	0.5753846153846154
metadata_confounder_logistic	disease_free_donor_holdout	1315	0.6467156032373423	0.6787297388815415	0.6454545454545455
metadata_confounder_logistic	disease_free_donor_holdout	1316	0.5588499550763701	0.5856035267441172	0.5462713387241689
metadata_confounder_logistic	disease_free_donor_holdout	1317	0.5236670502493288	0.6064733871912984	0.4642117376294591
metadata_confounder_logistic	disease_free_donor_holdout	1318	0.6655172413793103	0.6836763865065751	0.5548850574712644
metadata_confounder_logistic	disease_free_donor_holdout	1319	0.5325292397660819	0.5145905520218279	0.4958698830409357
metadata_confounder_logistic	disease_free_donor_holdout	1320	0.55	0.5911044240312533	0.4926829268292683
metadata_confounder_logistic	disease_free_donor_holdout	1321	0.6138825203573406	0.5763490388932142	0.5971223021582734
metadata_confounder_logistic	disease_free_donor_holdout	1322	0.5372754491017964	0.5960188087774295	0.4833832335329341
metadata_confounder_logistic	disease_free_donor_holdout	1323	0.4095149253731344	0.38345124110617906	0.4396766169154229
metadata_confounder_logistic	disease_free_donor_holdout	1324	0.603227682465833	0.6688968034015113	0.5578656586216924
metadata_confounder_logistic	disease_free_donor_holdout	1325	0.6245985870263328	0.6708780430756289	0.6011560693641619
metadata_confounder_logistic	disease_free_donor_holdout	1326	0.4839140103780578	0.6295257874697127	0.5278724981467754
metadata_confounder_logistic	disease_free_donor_holdout	1327	0.7011278195488722	0.7149100002367377	0.6126373626373627
metadata_confounder_logistic	disease_free_donor_holdout	1328	0.6584269662921349	0.6935474961531648	0.5679194110809763
metadata_confounder_logistic	disease_free_donor_holdout	1329	0.47289156626506024	0.6099434863459592	0.40993975903614455
metadata_confounder_logistic	disease_free_donor_holdout	1330	0.598989898989899	0.6600534293948824	0.5428904428904429
metadata_confounder_logistic	disease_free_dataset_holdout	1301	0.75	0.7192982456140351	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1302	0.44493451122324995	0.4852173949910259	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1303	0.0	0.7272727272727273	0.3333333333333333
metadata_confounder_logistic	disease_free_dataset_holdout	1304	0.0	0.7272727272727273	0.3333333333333333
metadata_confounder_logistic	disease_free_dataset_holdout	1305	0.014925373134328358	0.6151388244606137	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1306	0.5223880597014925	0.8158604567523827	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1307	0.0	0.5333333333333333	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1308	0.4856471816283925	0.4659903281456358	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1309	0.48636363636363633	0.4596272124127785	0.4762626262626263
metadata_confounder_logistic	disease_free_dataset_holdout	1310	0.11111111111111108	0.08994708994708996	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1311	0.4856471816283925	0.4659903281456358	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1312	0.471573852986063	0.4508925479974965	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1313	0.471573852986063	0.4508925479974965	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1314	0.4166666666666667	0.4606741573033708	0.4166666666666667
metadata_confounder_logistic	disease_free_dataset_holdout	1315	0.0	0.8930966571204968	0.0
metadata_confounder_logistic	disease_free_dataset_holdout	1316	0.0	0.7272727272727273	0.3333333333333333
metadata_confounder_logistic	disease_free_dataset_holdout	1317	0.4707248680753351	0.4694023241178126	0.45793645536640837
metadata_confounder_logistic	disease_free_dataset_holdout	1318	0.0	0.125	0.0
metadata_confounder_logistic	disease_free_dataset_holdout	1319	0.0	0.06724386724386724	0.0
metadata_confounder_logistic	disease_free_dataset_holdout	1320	0.0	0.17176502942743646	0.0
metadata_confounder_logistic	disease_free_dataset_holdout	1321	0.44493451122324995	0.4852173949910259	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1322	0.471573852986063	0.4508925479974965	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1323	0.471573852986063	0.4508925479974965	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1324	0.4715472659517834	0.4581458048493239	0.4753498364894669
metadata_confounder_logistic	disease_free_dataset_holdout	1325	0.40909090909090906	0.5898838004101162	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1326	0.41836734693877553	0.5134200163627665	0.5
metadata_confounder_logistic	disease_free_dataset_holdout	1327	0.04477611940298507	0.8158604567523827	0.5
