PC1	PC2	age_group	disease	dataset_id
-2.9743998	-0.71593684	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.0147655	0.61408067	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6180618	5.756843	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.4620714	1.1728271	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.676177	2.0666	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-6.2381434	-2.4261405	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.2622585	1.6963984	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.0691211	2.0401182	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.2480909	0.49731794	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.122609	1.927326	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.5217142	-0.25424653	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3362386	3.9009478	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.1511035	1.2965348	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.054118	-0.37698904	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.7507424	0.6791068	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.257903	3.8297427	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.103579	-0.53785723	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.8287513	-1.0876933	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.6258078	0.5681925	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.851195	-0.10919638	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.42424	2.0976603	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
